category,title,publicationDetails,abstract,filename,externalLink,externalLinkName
academic,Search Engines and Free Speech Coverage,"In S. Brison and K. Gelber (Eds.), Free Speech in the Digital  Age (Oxford: Oxford University Press, 2019): 33-51 // with Heather M. Whitney","This paper investigates whether search engines and other new modes of online communication should be covered by free speech principles. It criticizes the analogical reasoning that contemporary American courts and scholars have used to liken search engines to newspapers, and to extend free speech coverage to them based on that likeness. There are dissimilarities between search engines and newspapers that undermine the key analogy, and also rival analogies that can be drawn which don’t recommend free speech protection for search engines. Partly on these bases, we argue that an analogical approach to questions of free speech coverage is of limited use in this context. Credible verdicts about how free speech principles should apply to new modes of online communication require us to re-excavate the normative foundations of free speech. This method for deciding free speech coverage suggests that only a subset of search engine outputs and similar online communication should receive special protection against government regulation.",Search-Engines.pdf,https://global.oup.com/academic/product/free-speech-in-the-digital-age-9780190883607?cc=gb&lang=en&,Book Link
academic,Reconciling Regulation with Scientific Autonomy in Dual-use Research,Forthcoming in Journal of Medicine and Philosophy // with Nicholas G. Evans and Michael J. Selgelid,"In debates over the regulation of communication related to dual-use research, we have to weigh the risks that such communication creates, against the value of scientific autonomy. The censorship of such communication seems justifiable in certain cases, given the potentially catastrophic applications of some dual-use research. But this conclusion gives rise to another kind of danger: that regulators will use overly simplistic cost-benefit reasoning to rationalise excessive regulation of scientific research. In response to this, we show how institutional design principles and normative frameworks from free speech theory can be used to help extend the argument for regulating dangerous dual-use research beyond overly simplistic cost-benefit reasoning, but without reverting to an implausibly absolutist view of scientific autonomy.",Reconciling-Regulation.pdf,,
academic,"Regulating Offense, Nurturing Offense","Politics, Philosophy, and Economics 17/3 (2018): 235-56","Joel Feinberg’s Offense to Others is the most comprehensive contemporary work on the significance of offense in a liberal legal system. Feinberg argues that being offended can impair a person’s liberty, much like a nuisance, and that it is therefore legitimate in principle to regulate conduct because of its offensiveness. In this paper I discuss some overlooked considerations that give us reason to resist Feinberg’s conclusion, even while granting this premise. My key claim is that the regulation of offense can inadvertently increase the incidence of offense, by nurturing offense-taking sensibilities. In the course of defending this claim and spelling out its implications, I explain why concerns about the inadvertent nurturing of offense are now more pressing, given the identity-political character of contemporary offense-based social conflicts, and I discuss why a reluctance to legally regulate offensive conduct need not be insensitive to the identity-political issues that animate those conflicts.",Regulating-Offense.pdf,https://journals.sagepub.com/doi/full/10.1177/1470594X17741228,Journal Link
academic,Permissivism and the Arbitrariness Objection,Episteme 14/4 (2017): 519-38,"Permissivism says that for some propositions and bodies of evidence, there is more than one rationally permissible doxastic attitude that can be taken towards that proposition given the evidence. Some critics of this view argue that it condones, as rationally acceptable, sets of attitudes that manifest an untenable kind of arbitrariness. I begin by providing a new and more detailed explication of what this alleged arbitrariness consists in. I then explain why Miriam Schoenfield’s prima facie promising attempt to answer the Arbitrariness Objection, by appealing to the role of epistemic standards in rational belief formation, fails to resolve the problem. Schoenfield’s strategy is, however, a useful one, and I go on to explain how an alternative form of the standards-based approach to Permissivism – one that emphasizes the significance of the relationship between people’s cognitive abilities and the epistemic standards that they employ – can respond to the arbitrariness objection.",Permissivism.pdf,https://www.cambridge.org/core/journals/episteme/article/permissivism-and-the-arbitrariness-objection/4623130173707A94B11A4AC4103B9C06,Journal Link
academic,Tolerating Hate in the Name of Democracy,Modern Law Review 80/4 (2017): 746-65 // with Amanda R. Greene,"This article offers a comprehensive and critical analysis of Eric Heinze's book Hate Speech and Democratic Citizenship (Oxford University Press, 2016). Heinze's project is to formulate and defend a more theoretically complex version of the idea (also defended by people like Ronald Dworkin and James Weinstein) that general legal prohibitions on hate speech in public discourse compromises the state's democratic legitimacy. We offer a detailed synopsis of Heinze's view, highlighting some of its distinctive qualities and strengths. We then develop a critical response to this view with three main focal points: (1) the characterisation of democratic legitimacy as something distinct from (and whose demands aren't identical with those of) legitimacy per se; (2) the claim that the requirements of democracy are hypothetical, rather than categorical, imperatives; and relatedly (3) the question of how we should reconcile the requirements of democratic legitimacy with the costs that may follow from prioritising democratic legitimacy. We argue that there are significant difficulties for Heinze's account on all three fronts.",Tolerating-Hate.pdf,https://onlinelibrary.wiley.com/doi/full/10.1111/1468-2230.12283,Journal Link
academic,Indoctrination Anxiety and the Etiology of Belief,Synthese 193/10 (2016): 3079-98 // with Joshua DiPaolo,"People sometimes try to call others’ beliefs into question by pointing out the contingent causal origins of those beliefs. The significance of such ‘Etiological Challenges’ is a topic that has started attracting attention in epistemology. Current work on this topic aims to show that Etiological Challenges are, at most, only indirectly epistemically significant, insofar as they bring other generic epistemic considerations to the agent’s attention (e.g. disagreement, consistency with one’s own epistemic standards, evidence of one’s fallibility). Against this approach, we argue that Etiological Challenges are epistemically significant in a more direct and more distinctive way. An Etiological Challenge prompts the agent to assess whether her beliefs result from practices of indoctrination, and whether she should reduce confidence in those beliefs, given the anti-reliability of indoctrination as a method of belief-acquisition. Our analysis also draws attention to some of the ways in which epistemic concerns interact with political issues – e.g. relating to epistemic injustice, identity-based discrimination, and segregation – when we’re thinking about the contingent causal origins of our beliefs.",Indoctrination-Anxiety.pdf,https://link.springer.com/article/10.1007/s11229-015-0919-6,Journal Link
academic,"Climate Change, Cooperation, and Moral Bioenhancement",Journal of Medical Ethics 42 (2016): 742-47 // with Toby Handfield and Pei-hua Huang,"The human faculty of moral judgment is not well suited to address problems, like climate change, that are global in scope and remote in time. Advocates of 'moral bioenhancement' have proposed that we should investigate the use of medical technologies to make human beings more trusting and altruistic, and hence more willing to cooperate in efforts to mitigate the impacts of climate change. We survey recent accounts of the proximate and ultimate causes of human cooperation in order to assess the prospects for bioenhancement. We identify a number of issues that are likely to be significant obstacles to effective bioenhancement, as well as areas for future research.",Climate-Change.pdf,https://jme.bmj.com/content/42/11/742.short,Journal Link
academic,Indirect Epistemic Reasons and Religious Belief,Religious Studies 53/2 (2017): 151-69 // with Kirk Lougheed,"If believing P will result in epistemically good outcomes, does this generate an epistemic reason to believe P, or just a pragmatic reason? Conceiving of such reasons as epistemic reasons seems to lead to absurd consequences, for example, allowing that someone can rationally hold beliefs that conflict with her assessment of her evidence's probative force. We explain why conceiving of such reasons as epistemic reasons can avoid this and other intuitively unwelcome results. We also suggest a positive case for conceiving of such reasons as epistemic reasons, namely, that they exhibit a kind of interpersonal normative parity that's typical of epistemic reasons but not pragmatic reasons. We then discuss connections between these issues and religious belief, suggesting that there are sometimes indirect epistemic reasons for religious belief, and that certain characterisations of religious belief may be instructive in thinking about what's involved in taking account of indirect epistemic reasons.",Indirect-Epistemic-Reasons.pdf,https://www.cambridge.org/core/journals/religious-studies/article/indirect-epistemic-reasons-and-religious-belief/01C9F05E73DADA6C2BC62F3C9B595023,Journal Link
academic,"Defining 'Speech': Subtraction, Addition, and Division",Canadian Journal of Law and Jurisprudence 29/2 (2016): 457-94,"In free speech theory ‘speech’ has to be defined as a special term of art. I argue that much free speech discourse comes with a tacit commitment to a ‘Subtractive Approach’ to defining speech. As an initial default, all communicative acts are assumed to qualify as speech, before exceptions are made to ‘subtract’ those acts that don’t warrant the special legal protections owed to ‘speech’. I examine how different versions of the Subtractive Approach operate, and criticise them in terms of their ability to yield a substantive definition of speech which covers all and only those forms of communicative action that – so our arguments for free speech indicate – really do merit special legal protection. In exploring alternative definitional approaches, I argue that what ultimately compromises definitional adequacy in this arena is a theoretical commitment to the significance of a single unified class of privileged communicative acts. I then propose an approach to free speech theory that eschews this theoretical commitment.",Defining-Speech.pdf,https://www.cambridge.org/core/journals/canadian-journal-of-law-and-jurisprudence/article/defining-speech-subtraction-addition-and-division/895CF085755E597A1242669A0D09D313,Journal Link
academic,Dehumanization: Its Operations and Origins,Journal of Law and Biosciences 3/1 (2016): 178-84,"Gail Murrow and Richard Murrow offer a novel account of dehumanization, by synthesizing data which suggest that where subject S has a dehumanized view of group G, S‘s neural mechanisms of empathy show a dampened response to the suffering of members of G, and S‘s judgments about the humanity of members of G are largely non-conscious. Here I examine Murrow and Murrow‘s suggestions about how identity-based hate speech bears responsibility for dehumanization in the first place. I identify a distinction between (i) accounts of the nature of the harm effected by identity prejudice, and (ii) accounts of how hate speech contributes to the harms of identity prejudice. I then explain why Murrow and Murrow‘s proposal is more aptly construed as an account of type (i), and explain why accounts of this type, even if they‘re plausible and evidentially well-supported, have limited implications in relation to justifications for anti-hate speech law.",Dehumanization.pdf,https://academic.oup.com/jlb/article/3/1/178/1751232,Journal Link
academic,Super Soldiers and Technological Asymmetry,"In J. Galliott and M. Lotz (Eds.), Super Soldiers: Ethical, Legal, and Social Implications (Ashgate, 2015): 81-91","In this chapter I argue that emerging soldier enhancement technologies have the potential to transform the ethical character of the relationship between combatants, in conflicts between ‘Superpower’ militaries, with the ability to deploy such technologies, and technologically disadvantaged ‘Underdog’ militaries. The reasons for this relate to Paul Kahn’s claims about the paradox of riskless warfare. When an Underdog poses no threat to a Superpower, the standard just war theoretic justifications for the Superpower’s combatants using lethal violence against their opponents breaks down. Therefore, Kahn argues, combatants in that position must approach their opponents in an ethical guise relevantly similar to ‘policing’. I argue that the kind of disparities in risk and threat between opposing combatants that Kahn’s analysis posits, don’t obtain in the context of face-to-face combat, in the way they would need to in order to support his ethical conclusions about policing. But then I argue that soldier enhancement technologies have the potential to change this, in a way that reactivates the force of those conclusions.",Super-Soldiers.pdf,https://www.routledge.com/Super-Soldiers-The-Ethical-Legal-and-Social-Implications-1st-Edition/Galliott-Lotz/p/book/9781472432957,Book Link
academic,"Dignity, Harm, and Hate Speech",Law and Philosophy 32/6 (2013): 701-28,"This paper examines two recent contributions to the hate speech literature – by Steven Heyman and Jeremy Waldron – which seek a justification for the legal restriction of hate speech in an account of the way that hate speech infringes against people’s dignity. These analyses look beyond the first-order hurts and disadvantages suffered by the immediate targets of hate speech, and consider the prospect of hate speech sustaining complex social structures whose wide-scale operations lower the social status of members of targeted groups. In Heyman’s and Waldron’s accounts we find plausible insights into the nature of identity-based social hierarchies, and the harms that redound to subordinated people under the operations of such hierarchies. I argue, however, that both analyses are unsuccessful as justifications for the restriction of hate speech, because they do not ultimately provide reason to think that hate speech is responsible for creating or sustaining identity-based social hierarchies.",Dignity-Harm.pdf,https://link.springer.com/article/10.1007/s10982-012-9164-z,Journal Link
academic,Epistemic Peerhood and the Epistemology of Disagreement,Philosophical Studies 164/2 (2013): 561-77,"In disagreements about trivial matters, it often seems appropriate for disputing parties to adopt a ‘middle ground’ view about the disputed matter. But in disputes about more substantial controversies (e.g. in ethics, religion, or politics) this sort of doxastic conduct can seem viciously acquiescent. How should we distinguish between the two kinds of cases, and thereby account for our divergent intuitions about how we ought to respond to them? One possibility is to say that ceding ground in a trivial dispute is appropriate because the disputing parties are usually epistemic peers within the relevant domain, whereas in a more substantial disagreement the disputing parties rarely, if ever, qualify as epistemic peers, and so ‘sticking to one’s guns’ is usually the appropriate doxastic response. My aim in this paper is to explain why this way of drawing the desired distinction is ultimately problematic, even if it seems promising at first blush.",Epistemic-Peerhood.pdf,https://link.springer.com/article/10.1007/s11098-012-9869-8,Journal Link
academic,Intellectual Agency and Responsibility for Belief in Free Speech Theory,Legal Theory 19/3 (2013): 307-30,"The idea that human beings are intellectually self-governing plays two roles in free speech theory. Firstly, this idea is frequently called upon as part of the justification for free speech. Secondly, it plays a role in guiding the translation of free speech principles into legal policy, by underwriting the ascriptive framework through which responsibility for certain kinds of speech harms is ascribed. After mapping out these relations, I consider what becomes of them once we acknowledge the significant limitations in people’s capacity for intellectual self-governance. I argue that acknowledging these limitations undermines the putative justifications for free speech that I outlined in the first part of the paper. But I argue that we can reformulate an ‘ascriptive’ account of intellectual and doxastic responsibility, on which people can still be held responsible for what they think and believe, even though they lack agent-causal control over their thinking and believing. I aim to show how the key idea – that people ‘have minds of their own’ – can and should still play a significant role in guiding the legislative outworkings of a free speech principle.",Intellectual-Agency.pdf,https://www.cambridge.org/core/journals/legal-theory/article/intellectual-agency-and-responsibility-for-belief-in-freespeech-theory/8DBAF23C8BE1CB2A23BFC4A3E5C59B55,Journal Link
academic,Unringing the Bell: McGowan on Oppressive Speech and the Assymetric Pliability of Conversation,Australasian Journal of Philosophy 91/3 (2013): 555-75,"Mary Kate McGowan proposes an account of oppressive speech inspired by David Lewis’s analysis of conversational kinematics. Speech can effect identity-based oppression, McGowan argues, by altering the ""conversational score"" – i.e. by introducing presuppositions and expectations into a conversation, and thus determining what sort of subsequent conversational ‘moves’ are felicitous – in a manner that oppresses members of a certain group, e.g. because the suppositions demean that group. In keeping with the Lewisian picture, McGowan notes the asymmetric pliability of conversational scores. For example, it is easier to introduce sexist presuppositions into a conversation, she argues, than it is to remove them. Responding to a sexist remark is thus like trying to ""unring a bell"". After explaining how McGowan's account of oppressive speech improves upon the work of others, in its explication of the relation between speech and structural oppression, I then propose a supportive elaboration of her claims about the asymmetric pliability of conversations involving identity-oppressive speech. We can understand this asymmetry as a consequence of a more general asymmetry between making things salient and un-salient in speech. I also discuss how this asymmetry also operates in various cases that interested Lewis.",Unringing.pdf,https://aap.tandfonline.com/doi/full/10.1080/00048402.2012.704053,Journal Link
academic,Life in Overabundance: Agar on Life-Extension and the Fear of Death,Ethical Theory and Moral Practice 17/2 (2014): 223-36 // with Aveek Bhattacharya,"In Humanity’s End: Why We Should Reject Radical Enhancement, Nicholas Agar presents a novel argument against the prospect of radical life-extension. Agar’s argument hinges on the claim that extended lifespans will result in people’s lives being dominated by the fear of death. Here we examine this claim and the surrounding issues in Agar’s discussion. We argue, firstly, that Agar’s view rests on empirically dubious assumptions about human rationality and attitudes to risk, and secondly, that even if those assumptions are granted, the fears that Agar adverts to are unlikely to dominate people’s lives if and when radical life-extension is made possible. Further, we claim that the structure of the decision-making process around life-extension is unlikely to be the way that it would need to be in order for Agar’s claims about fear of death to make sense. Finally, we argue that Agar is implicitly committed to a narrow conception of human value. In response, we suggest that the pursuit of life-extension can itself be seen as an expression of certain important aspects of our distinctively human nature.",Overabundance.pdf,https://link.springer.com/article/10.1007/s10677-013-9431-6,Journal Link
academic,Nanotechnologically Enhanced Combat Systems: The Downside of Invulnerability,"In B. Gordijn and A. M. Cutter (Eds.), In Pursuit of Nanoethics (Dordrecht: Springer, 2014): 89-103 // with Robert Sparrow","In this paper we argue that Nanotechnologically enhanced ‘battle-suits’ for soldiers will tend to exacerbate various ethical issues around asymmetric warfare between technologically advanced military superpowers and technologically disadvantaged military forces. Riskless warfare creates ethical problems that the superpower state must grapple with, in trying to determine whether and how it can justly engage in military conflicts involving profound military-technological disparities. But riskless warfare isn’t an ethical problem from the point of view of the individual soldier in the superpower’s military, insofar as that soldier’s life remains under threat from opposing soldiers. The significance of enhanced battlesuit technology is that these risks to individual soldiers may become greatly mitigated, or even, in various cases, eliminated, which would in turn problematise the superpower soldier’s justification for attacking the underdog soldier with lethal force, in a way that broadly resembles the ‘paradox of riskless warfare’ that applies at the level of the state. ",Downside.pdf,https://link.springer.com/book/10.1007/978-1-4020-6817-1,Book Link
academic,Moral Antitheodicy: Prospects and Problems,International Journal for Philosophy of Religion 65/1 (2009): 153-69,"Proponents of the view which I call ‘moral antitheodicy’ call for the theistic discourse practice of theodicy to be abandoned, because, they contend, all theodicies involve some form of moral impropriety. Three arguments in support of this position are examined: the argument from insensitivity, the argument from detachment, and the argument from harmful consequences. After discussing the merits of each argument individually, I attempt to show that they all must presuppose what they are intended to establish, namely, that the set of premises advanced in any given theodicy will be untenable. I conclude by discussing what uses there might be for the moral critique of theodicy, if it cannot be used to ground a global rejection of theodical practice.",Moral-Antitheodicy.pdf,https://link.springer.com/article/10.1007/s11153-008-9189-2,Journal Link
academic,"Some Moral Critique of Theodicy is Misplaced, but Not All",Religious Studies 45/3 (2009): 339-46,"Several contemporary critiques of theodicy have incorporated some form of moral objection to the theodical enterprise, in which the critic argues that one ought not to engage in the practice of theodicy. In defending theodical practice against the moral critique, Atle O. Sovik argues that the moral critique (i) begs the question against theodicy, and (ii) misapprehends the implications of the claim that it is inappropriate to espouse a theodicy in certain situations. In this paper I suggest some sympathetic amendments for Sovik’s theodical apologetic, before arguing against Sovik’s claim that the moral critique of theodicy is altogether irrelevant.",Moral-Critique.pdf,https://www.cambridge.org/core/journals/religious-studies/article/some-moral-critique-of-theodicy-is-misplaced-but-not-all/365004EC86A0A347BD7930CB6B888BFA,Journal Link
academic,Avoiding the Afterlife: Victims of Suffering and the Argument from Usefulness,Forum Philosophicum 13/2 (2008): 437-55,"Contemporary proponents of theodicy generally believe that a theodical reply to the evidential argument from evil must involve some appeal to the afterlife. In Richard Swinburne’s writings on theodicy, however, we find two arguments that may be offered in opposition to this prevailing view. In this paper, these two arguments – the argument from usefulness and the argument from assumed consent – are explained and evaluated. I suggest that both of these arguments are ineffective, because of their failure to distinguish between the different ways in which persons may be of-use in the attainment of some good state of affairs.",Avoiding-Afterlife.pdf,https://forumphilosophicum.ignatianum.edu.pl/1522-avoiding-the-afterlife-in-theodicy-victims-of-suffering-and-the-argument-from-usefulness.html,Journal Link
other,"Speaking Freely, Thinking Aloud, and Embarrassing Yourself on Social Media","ABC Religion & Ethics, 7th of May 2020","Why do we care about free speech? One theory says that being able to speak freely to others is a necessary condition for us realising our capacities as thinking beings. Why do we care about privacy? One theory says that our interest in privacy is about cordoning off a ""drafting space"" in which we can rehearse our opinions and our self-presentational choices, to see what we like and what we want to revise, before publicising these parts of our identity. In this paper I draw on these theories to explain an unhappy feature of social media discourse. We’re drawn to share our ideas on social media because it seems like a valuable forum for speaking freely with others and thereby realising our capacities qua thinking beings. But we mistakenly treat social media as if it is a private conversation – a suitable drafting space for our public identities – when it is functionally anything but.",Thinking-Aloud.pdf,https://www.abc.net.au/religion/thinking-aloud-free-speech-and-embarrassing-on-social-media/12217326,Web Link
other,"Supply Chains, Disaster-Mitigation, and State Manufacturing","Justice Everywhere, 6th of April 2020","This short piece outlines and examines the case for creating state-owned health supply manufacturing companies, in order to mitigate the impact of public health crises, by reducing the likelihood of market failures in the supply of essential health supplies.",Supply-Chains.pdf,http://justice-everywhere.org/distribution/supply-chains-disaster-mitigation-and-state-manufacturing/,Web Link
other,Weaponisation,"New Statesman, 11th of February 2020","It is increasingly common today, in political debate, for people to accuse their opponents of weaponising an ideal or value. For example, progressives accuse conservatives of weaponising free speech, and conservatives accuse progressives of weaponising compassion. In this piece I criticise this sort of rhetorical brinkmanship. I argue that an aversion to ""weaponisation-talk"" is not merely a symptom of a naively conflict-avoidant liberal mindset, i.e. the kind of mindset that’s criticised by agonistic realists. Instead, I suggest that weaponisation-talk is to be resisted because it encourages us to move from a justified frustration about the benighted or disingenuous invocation of some ideal, towards an unjustified sense of antipathy or suspicion about the ideal itself.",Weaponisation.pdf,https://www.newstatesman.com/2020/02/how-rhetoric-weaponisation-undermining-liberal-ideals,Web Link
other,"Book Review // ""The Varieties of Religious Expedience"": Review of Interior States, by Megan O'Gieblyn","The New Rambler Review, 5th of February 2020","This is a review of a collection of literary essays centred around two themes: (i) Christianity and post-Christian culture, and (ii) the American Midwest. I offer a synopsis of some of the key essays, and identify some argumentative ""through-lines"" that link the essays across the two themes. The collection’s distinguishing merit, I argue, is that way that it models the difference between two kinds of intellectual-cum-political attitudes: awareness and perspective. Where the former tends to favour simplifying explanations of social phenomena, the latter tends to favour subtler, more complex, and ultimately more explanatorily conscientious (if less satisfying) explanations. O’Gieblyn’s essays argue for the importance of perspective, in how we understand Christianity’s role in American public life, and demonstrate in practice what perspective in this topical area looks like.",Religious-Expedience.pdf,https://newramblerreview.com/book-reviews/religion/the-varieties-of-religious-expedience,Web Link
other,"Book Review // ""Triggered"": Review of Speak Freely: Why Universities Must Defend Free Speech, by Keith E. Whittington","Times Literary Supplement, 14th of May 2019","In this book Whittington defends the idea that free speech is a constitutive ideal in a university – that a university somehow fails to be the kind of institution it's meant to be if it doesn't maintain an overriding commitment to free speech. In my review I present a fairly sympathetic summary of the book's arguments. But I then put a little bit of critical pressure on them. In particular, I challenge Whittington's suggestion that the political polarisation that's occuring on campuses, and the resultant challenges for the university's commitment to free speech, stem from a kind of left-wing intolerance of conservative ideas.",Speak-Freely.pdf,https://www.the-tls.co.uk/articles/private/triggered-speak-freely/,Web Link
